Accession,description,Group,concentration,Method,Alternative,P value,Log2FC
218,P01024,Complement C3 [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,0.012499756,0.289976167
219,P01024,Complement C3 [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,3.65E-06,0.575185035
220,P01024,Complement C3 [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,0.123796489,0.074334672
221,P01024,Complement C3 [OS=Homo sapiens],PtdIns,10,Welch Two Sample t-test,two.sided,0.003547424,0.345978504
222,P01024,Complement C3 [OS=Homo sapiens],PtdIns,100,Welch Two Sample t-test,two.sided,0.005620139,0.280095927
223,P01024,Complement C3 [OS=Homo sapiens],PtdIns,1000,Welch Two Sample t-test,two.sided,0.049615631,0.158487653
224,P01024,Complement C3 [OS=Homo sapiens],Sauce 1,10,Welch Two Sample t-test,two.sided,0.006841083,0.27528381
225,P01024,Complement C3 [OS=Homo sapiens],Sauce 1,100,Welch Two Sample t-test,two.sided,0.077065994,-0.049699289
226,P01024,Complement C3 [OS=Homo sapiens],Sauce 1,1000,Welch Two Sample t-test,two.sided,3.18E-06,0.606912132
227,P01024,Complement C3 [OS=Homo sapiens],Sauce 2,10,Welch Two Sample t-test,two.sided,0.006290865,0.172774703
228,P01024,Complement C3 [OS=Homo sapiens],Sauce 2,100,Welch Two Sample t-test,two.sided,0.001564042,0.171940641
229,P01024,Complement C3 [OS=Homo sapiens],Sauce 2,1000,Welch Two Sample t-test,two.sided,6.94E-05,2.880946699
230,P01024,Complement C3 [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,4.92E-06,0.499097112
231,P01024,Complement C3 [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,0.027742348,0.141218456
232,P01024,Complement C3 [OS=Homo sapiens],Triglyceride,1000,Welch Two Sample t-test,two.sided,0.036990254,-0.065469623
233,P02774,Vitamin D-binding protein [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.000433612,0.158303796
234,P02774,Vitamin D-binding protein [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,3.36E-05,-0.185736459
235,P02774,Vitamin D-binding protein [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,0.000655764,-0.317967985
236,P02774,Vitamin D-binding protein [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,2.98E-06,-0.654955936
237,P02774,Vitamin D-binding protein [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,1.71E-05,-0.246310756
238,P02774,Vitamin D-binding protein [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,1.99E-06,-0.428263715
239,P02774,Vitamin D-binding protein [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,0.001011646,-0.065972003
240,P02774,Vitamin D-binding protein [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,9.00E-07,-0.993344491
241,P02774,Vitamin D-binding protein [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,1.25E-05,0.195349543
242,P02774,Vitamin D-binding protein [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,1.24E-05,-0.329330146
243,P02774,Vitamin D-binding protein [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,0.001938062,-0.154461714
244,P02774,Vitamin D-binding protein [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,0.488365045,0.012979716
245,P02774,Vitamin D-binding protein [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,0.000233617,-0.204766403
246,P02774,Vitamin D-binding protein [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,0.000258912,-0.122441841
247,P02774,Vitamin D-binding protein [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,0.002178401,-0.056097719
248,P02774,Vitamin D-binding protein [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,0.000371387,-0.295743252
249,P02774,Vitamin D-binding protein [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,0.035805438,-0.129716321
250,P02774,Vitamin D-binding protein [OS=Homo sapiens],PtdIns,10,Welch Two Sample t-test,two.sided,1.44E-06,-0.419230236
251,P02774,Vitamin D-binding protein [OS=Homo sapiens],PtdIns,100,Welch Two Sample t-test,two.sided,0.000233932,-0.261541579
252,P02774,Vitamin D-binding protein [OS=Homo sapiens],PtdIns,1000,Welch Two Sample t-test,two.sided,1.09E-06,-0.445531133
253,P02774,Vitamin D-binding protein [OS=Homo sapiens],Sauce 1,10,Welch Two Sample t-test,two.sided,0.005527466,0.1014038
254,P02774,Vitamin D-binding protein [OS=Homo sapiens],Sauce 1,100,Welch Two Sample t-test,two.sided,2.62E-05,-0.323155524
255,P02774,Vitamin D-binding protein [OS=Homo sapiens],Sauce 1,1000,Welch Two Sample t-test,two.sided,4.53E-05,-0.333412256
256,P02774,Vitamin D-binding protein [OS=Homo sapiens],Sauce 2,10,Welch Two Sample t-test,two.sided,0.001393768,-0.061132272
257,P02774,Vitamin D-binding protein [OS=Homo sapiens],Sauce 2,100,Welch Two Sample t-test,two.sided,0.352918545,-0.006673217
258,P02774,Vitamin D-binding protein [OS=Homo sapiens],Sauce 2,1000,Welch Two Sample t-test,two.sided,3.34E-05,-1.01666743
259,P02774,Vitamin D-binding protein [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,0.004271619,-0.056199728
260,P02774,Vitamin D-binding protein [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,6.42E-05,-0.318212635
261,P02774,Vitamin D-binding protein [OS=Homo sapiens],Triglyceride,1000,Welch Two Sample t-test,two.sided,0.002850721,-0.057896911
262,P02679,Fibrinogen gamma chain [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.00127118,-0.178660592
263,P02679,Fibrinogen gamma chain [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,7.46E-05,0.535050423
264,P02679,Fibrinogen gamma chain [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,1.18E-06,0.855237093
265,P02679,Fibrinogen gamma chain [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,3.60E-06,-0.634281921
266,P02679,Fibrinogen gamma chain [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,2.57E-05,-0.711563765
267,P02679,Fibrinogen gamma chain [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,1.39E-05,-0.786335542
268,P02679,Fibrinogen gamma chain [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,0.005246346,-0.112198305
269,P02679,Fibrinogen gamma chain [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,4.60E-08,1.49578575
270,P02679,Fibrinogen gamma chain [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,2.64E-06,-0.867699094
271,P02679,Fibrinogen gamma chain [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,0.000178066,-0.465662544
272,P02679,Fibrinogen gamma chain [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,6.09E-05,-0.643762588
273,P02679,Fibrinogen gamma chain [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,7.67E-07,-0.973700103
274,P02679,Fibrinogen gamma chain [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,2.05E-05,-0.722244015
275,P02679,Fibrinogen gamma chain [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,1.82E-06,-0.883514304
276,P02679,Fibrinogen gamma chain [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,0.245689159,0.014985468
277,P02679,Fibrinogen gamma chain [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,0.000385571,0.373918462
278,P02679,Fibrinogen gamma chain [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,0.000115982,-0.662132273
279,P02679,Fibrinogen gamma chain [OS=Homo sapiens],PtdIns,10,Welch Two Sample t-test,two.sided,1.09E-05,-0.416853141
280,P02679,Fibrinogen gamma chain [OS=Homo sapiens],PtdIns,100,Welch Two Sample t-test,two.sided,2.80E-06,-0.667095677
281,P02679,Fibrinogen gamma chain [OS=Homo sapiens],PtdIns,1000,Welch Two Sample t-test,two.sided,7.99E-05,-1.476913646
282,P02679,Fibrinogen gamma chain [OS=Homo sapiens],Sauce 1,10,Welch Two Sample t-test,two.sided,0.00205064,1.484949195
283,P02679,Fibrinogen gamma chain [OS=Homo sapiens],Sauce 1,100,Welch Two Sample t-test,two.sided,2.07E-06,-0.94486558
284,P02679,Fibrinogen gamma chain [OS=Homo sapiens],Sauce 1,1000,Welch Two Sample t-test,two.sided,9.57E-05,-1.330185329
285,P02679,Fibrinogen gamma chain [OS=Homo sapiens],Sauce 2,1000,Welch Two Sample t-test,two.sided,0.376021294,-0.010653138
286,P02679,Fibrinogen gamma chain [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,0.004249128,-0.075254659
287,P02679,Fibrinogen gamma chain [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,2.69E-06,-1.322318452
288,P02679,Fibrinogen gamma chain [OS=Homo sapiens],Triglyceride,1000,Welch Two Sample t-test,two.sided,3.67E-06,-1.404307675
289,P02647,Apolipoprotein A-I [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,4.66E-06,-0.666686783
290,P02647,Apolipoprotein A-I [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,9.81E-05,-0.110648553
291,P02647,Apolipoprotein A-I [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,5.49E-08,-0.940722847
292,P02647,Apolipoprotein A-I [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,8.54E-05,-0.149928365
293,P02647,Apolipoprotein A-I [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,7.23E-05,-0.58599906
294,P02647,Apolipoprotein A-I [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,0.000128457,-0.299008151
295,P02647,Apolipoprotein A-I [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,0.000297374,-0.443441947
296,P02647,Apolipoprotein A-I [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,9.75E-05,0.275506501
297,P02647,Apolipoprotein A-I [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,7.18E-07,-0.544841719
298,P02647,Apolipoprotein A-I [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,3.41E-07,-0.653044185
299,P02647,Apolipoprotein A-I [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,1.45E-07,-0.683903853
300,P02647,Apolipoprotein A-I [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,8.03E-07,-0.755171804
301,P02647,Apolipoprotein A-I [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,4.47E-07,-0.437387112
302,P02647,Apolipoprotein A-I [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,1.14E-07,-0.628323329
303,P02647,Apolipoprotein A-I [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,1.32E-06,-0.441729843
304,P02647,Apolipoprotein A-I [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,2.35E-06,-0.263897232
305,P02647,Apolipoprotein A-I [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,9.26E-08,-0.669158868
306,P02647,Apolipoprotein A-I [OS=Homo sapiens],PtdIns,10,Welch Two Sample t-test,two.sided,0.125160781,-0.037569667
307,P02647,Apolipoprotein A-I [OS=Homo sapiens],PtdIns,100,Welch Two Sample t-test,two.sided,0.008855469,-0.064879253
308,P02647,Apolipoprotein A-I [OS=Homo sapiens],PtdIns,1000,Welch Two Sample t-test,two.sided,0.000739584,0.659177229
309,P02647,Apolipoprotein A-I [OS=Homo sapiens],Sauce 1,10,Welch Two Sample t-test,two.sided,0.112466767,-0.029680962
310,P02647,Apolipoprotein A-I [OS=Homo sapiens],Sauce 1,100,Welch Two Sample t-test,two.sided,7.95E-05,1.049012316
311,P02647,Apolipoprotein A-I [OS=Homo sapiens],Sauce 1,1000,Welch Two Sample t-test,two.sided,0.000298297,0.111264498
312,P02647,Apolipoprotein A-I [OS=Homo sapiens],Sauce 2,10,Welch Two Sample t-test,two.sided,0.004074827,-0.147656409
313,P02647,Apolipoprotein A-I [OS=Homo sapiens],Sauce 2,100,Welch Two Sample t-test,two.sided,0.185636504,-0.029673472
314,P02647,Apolipoprotein A-I [OS=Homo sapiens],Sauce 2,1000,Welch Two Sample t-test,two.sided,0.050905002,0.020501843
315,P02647,Apolipoprotein A-I [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,8.58E-06,-0.181574881
316,P02647,Apolipoprotein A-I [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,0.000122479,0.106036811
317,P02647,Apolipoprotein A-I [OS=Homo sapiens],Triglyceride,1000,Welch Two Sample t-test,two.sided,4.33E-08,-0.858989804
318,P07996,Thrombospondin-1 [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.000116174,-0.371213339
319,P07996,Thrombospondin-1 [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,7.64E-05,-0.97690346
320,P07996,Thrombospondin-1 [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,4.17E-07,-1.265888306
321,P07996,Thrombospondin-1 [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,4.96E-07,-1.045209972
322,P07996,Thrombospondin-1 [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,4.37E-07,-1.294387702
323,P07996,Thrombospondin-1 [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,1.78E-06,-1.319677405
324,P07996,Thrombospondin-1 [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,1.18E-05,-0.381933801
325,P07996,Thrombospondin-1 [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,0.000244549,-0.261371163
326,P07996,Thrombospondin-1 [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.000370867,-0.156306644
327,P07996,Thrombospondin-1 [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,0.000131488,-0.627160826
328,P07996,Thrombospondin-1 [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,3.80E-05,-0.973584662
329,P07996,Thrombospondin-1 [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,3.04E-05,-0.315624784
330,P07996,Thrombospondin-1 [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,2.21E-06,-0.648704472
331,P07996,Thrombospondin-1 [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,3.78E-05,-0.841768613
332,P07996,Thrombospondin-1 [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,1.90E-06,-1.010243592
333,P07996,Thrombospondin-1 [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,9.23E-06,-0.433475101
334,P07996,Thrombospondin-1 [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,2.49E-05,-0.755869283
335,P07996,Thrombospondin-1 [OS=Homo sapiens],PtdIns,10,Welch Two Sample t-test,two.sided,2.88E-07,-1.259905191
336,P07996,Thrombospondin-1 [OS=Homo sapiens],PtdIns,100,Welch Two Sample t-test,two.sided,1.99E-05,-0.455327618
337,P07996,Thrombospondin-1 [OS=Homo sapiens],PtdIns,1000,Welch Two Sample t-test,two.sided,0.000123604,-0.633381696
338,P07996,Thrombospondin-1 [OS=Homo sapiens],Sauce 1,10,Welch Two Sample t-test,two.sided,8.93E-06,-0.858604824
339,P07996,Thrombospondin-1 [OS=Homo sapiens],Sauce 1,100,Welch Two Sample t-test,two.sided,3.71E-07,-1.186808343
340,P07996,Thrombospondin-1 [OS=Homo sapiens],Sauce 1,1000,Welch Two Sample t-test,two.sided,2.40E-06,-0.632773005
341,P07996,Thrombospondin-1 [OS=Homo sapiens],Sauce 2,10,Welch Two Sample t-test,two.sided,1.19E-05,-2.078528823
342,P07996,Thrombospondin-1 [OS=Homo sapiens],Sauce 2,100,Welch Two Sample t-test,two.sided,4.08E-05,-1.340989567
343,P07996,Thrombospondin-1 [OS=Homo sapiens],Sauce 2,1000,Welch Two Sample t-test,two.sided,7.97E-06,-0.561744718
344,P07996,Thrombospondin-1 [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,4.45E-05,-0.393739537
345,P07996,Thrombospondin-1 [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,0.000137163,-0.790627783
346,P07996,Thrombospondin-1 [OS=Homo sapiens],Triglyceride,1000,Welch Two Sample t-test,two.sided,0.000502629,-0.396022098
347,P60709,"Actin, cytoplasmic 1 [OS=Homo sapiens]",PE,10,Welch Two Sample t-test,two.sided,2.45E-06,-0.723948821
348,P60709,"Actin, cytoplasmic 1 [OS=Homo sapiens]",PE,100,Welch Two Sample t-test,two.sided,0.000121523,-0.537795363
349,P60709,"Actin, cytoplasmic 1 [OS=Homo sapiens]",PE,1000,Welch Two Sample t-test,two.sided,1.28E-06,-0.791994249
350,P60709,"Actin, cytoplasmic 1 [OS=Homo sapiens]",B-complex,10,Welch Two Sample t-test,two.sided,0.000107703,-0.603699331
351,P60709,"Actin, cytoplasmic 1 [OS=Homo sapiens]",B-complex,100,Welch Two Sample t-test,two.sided,8.88E-05,-0.809782888
352,P60709,"Actin, cytoplasmic 1 [OS=Homo sapiens]",B-complex,1000,Welch Two Sample t-test,two.sided,1.12E-06,-0.626184968
353,P60709,"Actin, cytoplasmic 1 [OS=Homo sapiens]",PtdChos,10,Welch Two Sample t-test,two.sided,2.21E-06,-0.782616775
354,P60709,"Actin, cytoplasmic 1 [OS=Homo sapiens]",PtdChos,1000,Welch Two Sample t-test,two.sided,0.021417551,0.043669996
355,P60709,"Actin, cytoplasmic 1 [OS=Homo sapiens]",Diglycerol,10,Welch Two Sample t-test,two.sided,0.000771772,0.409161271
356,P60709,"Actin, cytoplasmic 1 [OS=Homo sapiens]",Diglycerol,100,Welch Two Sample t-test,two.sided,0.001616554,-0.118694129
357,P60709,"Actin, cytoplasmic 1 [OS=Homo sapiens]",Diglycerol,1000,Welch Two Sample t-test,two.sided,0.001492842,-0.168922022
358,P60709,"Actin, cytoplasmic 1 [OS=Homo sapiens]",Glucose,10,Welch Two Sample t-test,two.sided,2.72E-05,0.31773242
359,P60709,"Actin, cytoplasmic 1 [OS=Homo sapiens]",Glucose,100,Welch Two Sample t-test,two.sided,0.00201278,-0.088169711
360,P60709,"Actin, cytoplasmic 1 [OS=Homo sapiens]",Glucose,1000,Welch Two Sample t-test,two.sided,0.000903077,0.089851861
361,P60709,"Actin, cytoplasmic 1 [OS=Homo sapiens]",IMP,10,Welch Two Sample t-test,two.sided,1.27E-06,-0.704504979
362,P60709,"Actin, cytoplasmic 1 [OS=Homo sapiens]",IMP,100,Welch Two Sample t-test,two.sided,1.27E-05,-0.289933805
363,P60709,"Actin, cytoplasmic 1 [OS=Homo sapiens]",IMP,1000,Welch Two Sample t-test,two.sided,0.001876882,-0.470771068
364,P60709,"Actin, cytoplasmic 1 [OS=Homo sapiens]",PtdIns,10,Welch Two Sample t-test,two.sided,6.89E-07,-0.813314858
365,P60709,"Actin, cytoplasmic 1 [OS=Homo sapiens]",PtdIns,100,Welch Two Sample t-test,two.sided,0.000108872,-0.586059452
366,P60709,"Actin, cytoplasmic 1 [OS=Homo sapiens]",PtdIns,1000,Welch Two Sample t-test,two.sided,0.001713786,-0.424068712
367,P60709,"Actin, cytoplasmic 1 [OS=Homo sapiens]",Sauce 1,10,Welch Two Sample t-test,two.sided,6.29E-07,-0.854236015
368,P60709,"Actin, cytoplasmic 1 [OS=Homo sapiens]",Sauce 1,100,Welch Two Sample t-test,two.sided,4.20E-05,-0.572501075
369,P60709,"Actin, cytoplasmic 1 [OS=Homo sapiens]",Sauce 1,1000,Welch Two Sample t-test,two.sided,2.06E-07,0.631206294
370,P60709,"Actin, cytoplasmic 1 [OS=Homo sapiens]",Sauce 2,10,Welch Two Sample t-test,two.sided,4.84E-05,-1.423214065
371,P60709,"Actin, cytoplasmic 1 [OS=Homo sapiens]",Sauce 2,100,Welch Two Sample t-test,two.sided,2.78E-06,-0.953553916
372,P60709,"Actin, cytoplasmic 1 [OS=Homo sapiens]",Sauce 2,1000,Welch Two Sample t-test,two.sided,5.54E-06,-0.437059667
373,P60709,"Actin, cytoplasmic 1 [OS=Homo sapiens]",Triglyceride,10,Welch Two Sample t-test,two.sided,3.35E-05,-0.322115543
374,P60709,"Actin, cytoplasmic 1 [OS=Homo sapiens]",Triglyceride,100,Welch Two Sample t-test,two.sided,0.000601718,-0.149124826
375,P60709,"Actin, cytoplasmic 1 [OS=Homo sapiens]",Triglyceride,1000,Welch Two Sample t-test,two.sided,0.000183876,0.320544676
376,P0DJI9,Serum amyloid A-2 protein [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.000257846,0.358293381
377,P0DJI9,Serum amyloid A-2 protein [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,4.17E-05,0.269520598
378,P0DJI9,Serum amyloid A-2 protein [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,0.025391807,0.132498684
379,P0DJI9,Serum amyloid A-2 protein [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,0.000767663,0.273316958
380,P0DJI9,Serum amyloid A-2 protein [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,0.000165259,0.31029277
381,P0DJI9,Serum amyloid A-2 protein [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,0.001957824,0.129439676
382,P0DJI9,Serum amyloid A-2 protein [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,2.79E-07,0.703731893
383,P0DJI9,Serum amyloid A-2 protein [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,1.34E-05,-0.43360646
384,P0DJI9,Serum amyloid A-2 protein [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.001136544,-0.271318801
385,P0DJI9,Serum amyloid A-2 protein [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,5.98E-06,0.301999121
386,P0DJI9,Serum amyloid A-2 protein [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,8.77E-06,0.436706829
387,P0DJI9,Serum amyloid A-2 protein [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,1.44E-06,-0.46358394
388,P0DJI9,Serum amyloid A-2 protein [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,2.78E-05,0.209017105
389,P0DJI9,Serum amyloid A-2 protein [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,1.20E-05,0.205116047
